Year,log_ratio_e,log_ratio_y,log_ratio_k
1964-01-01,-1.4737069855967864,0.007615367875488773,-0.06419772492997759
1965-01-01,-1.480839974782229,0.01047165209332761,-0.06617437713732677
1966-01-01,-1.478470523637638,0.012742092218018777,-0.06875417609121123
1967-01-01,-1.4767999193389838,0.01912933571135407,-0.07539315284335482
1968-01-01,-1.4748706576834907,0.027757188507128397,-0.0843314434353948
1969-01-01,-1.471392611230575,0.03594963619200809,-0.09304111699167886
1970-01-01,-1.4658132966857353,0.04241369772919046,-0.10029069286125529
1971-01-01,-1.4567809971357197,0.05211339225414896,-0.11129027009896439
1972-01-01,-1.447876570745978,0.05873154905237292,-0.11919183237643438
1973-01-01,-1.4401591404938778,0.06388589602859354,-0.1254783884950615
1974-01-01,-1.4346748750086866,0.06991973098004473,-0.13237202091183287
1975-01-01,-1.43173603799147,0.0777429043067267,-0.14074581647082562
1976-01-01,-1.4298111251356558,0.08512702270079445,-0.14854321032310724
1977-01-01,-1.4294096468700617,0.09433385199328542,-0.15799633403583493
1978-01-01,-1.4296713387200783,0.10437661460002465,-0.16822503215689621
1979-01-01,-1.4297014260977499,0.11355291894198169,-0.17761687802422707
1980-01-01,-1.4289881454605307,0.12096890275729218,-0.18532491370824306
1981-01-01,-1.4250546855519324,0.12653213064618243,-0.19161052588080568
1982-01-01,-1.421455052072312,0.1306847592928457,-0.1964096542732121
1983-01-01,-1.418489138095836,0.13383224991632062,-0.20008913334315093
1984-01-01,-1.4165001455228015,0.13673945611095514,-0.20338052104627086
1985-01-01,-1.4155263002425729,0.1397780372820837,-0.2066580463274399
1986-01-01,-1.4146572952092678,0.14308079414033278,-0.2101947838257726
1987-01-01,-1.4150847049043889,0.14727252303984856,-0.2144553516226558
1988-01-01,-1.4163164362877767,0.15229650036010023,-0.21945690339633508
1989-01-01,-1.4174758295243175,0.1576605517128414,-0.2248253994203628
1990-01-01,-1.417787470480741,0.16293701236126382,-0.2302369352063461
1991-01-01,-1.4147568840378058,0.16776180141836974,-0.23569685197792978
1992-01-01,-1.4111640245132038,0.17231122878835883,-0.2409688901588071
1993-01-01,-1.407586846800612,0.17682992324960048,-0.24621847765250285
1994-01-01,-1.4047429294625293,0.18170767786186595,-0.2517373538517073
1995-01-01,-1.4027435939244608,0.187142162671516,-0.257711892126594
1996-01-01,-1.4002038408672508,0.19387383649560452,-0.26513669632671655
1997-01-01,-1.3990087001396727,0.20103555908507367,-0.272807893537369
1998-01-01,-1.3978711853303898,0.2087518876001428,-0.281063875673302
1999-01-01,-1.3951191501828253,0.21711900157792238,-0.2902857656785169
2000-01-01,-1.3899183357750147,0.22609264693234637,-0.30058310621298323
2001-01-01,-1.3768386586695311,0.2320228433092131,-0.30908135636919765
2002-01-01,-1.3641782044664106,0.24027921938135297,-0.32006480203198057
2003-01-01,-1.3536585093809883,0.25037763060034324,-0.33272021145593583
2004-01-01,-1.3448813107403224,0.26113804068328617,-0.34585492939470613
2005-01-01,-1.3354220453428634,0.27136764770676736,-0.3586559798232383
2006-01-01,-1.320829233389874,0.2772269259764655,-0.36791768558416127
2007-01-01,-1.3081020755533181,0.2835829415349448,-0.37746174626137
2008-01-01,-1.2985189465292966,0.2909938221728836,-0.3875821520453329
2009-01-01,-1.2913659562673399,0.2997830714296232,-0.3987512346293836
