Year,elder,youth,kid
2010-01-01,0.049388723479223406,0.670329380558187,0.2802818959625895
2011-01-01,0.050144122686913165,0.6745713405164553,0.27528453679663156
2012-01-01,0.05090458540205777,0.6787536036629278,0.2703418109350146
2013-01-01,0.05167005972543726,0.6828756113922366,0.26545432888232595
2014-01-01,0.05244049480996046,0.6869368507860535,0.26062265440398596
2015-01-01,0.05321584092626637,0.6909368541292452,0.2558473049444884
2016-01-01,0.05399604952477031,0.6948751983639211,0.2511287521113086
2017-01-01,0.05478107329411597,0.6987515044845755,0.24646742222130857
2018-01-01,0.055570866216007056,0.7025654368776025,0.24186369690639042
2019-01-01,0.056365383616404405,0.7063167026085055,0.23731791377508998
2020-01-01,0.05716458221308531,0.7100050506601621,0.23283036712675265
2021-01-01,0.05796842015957326,0.7136302711255236,0.22840130871490308
